service (원래 사업 이름)	띄어쓰기한 사업 이름 	category_one	category_two	category_three	assigned	summary
“인왕 전통시장” 이름표를 달아주세요 (주민참여예산)	인왕 전통 시장 이름표 달아주세요 주민참여 	산업중소기업	산업진흥고도화	산업진흥 	30000000	30000000
「서울경관 미리보기」타당성 및 기본계획수립 용역	서울 경관 미리보기 타당성 기본 계획 수립 용역	지역개발	지역및도시	건설건축 	0	0
「서울의제21」 실천	서울의제21 실천	환경보호	환경보호일반	도시환경 	1820000000	8888000000
「세계 물의 날」기념행사 추진	세계 물의 날 기념 행사 추진	환경보호	상하수도및수질	상수도 	20000000	100000000
「전통시장활성화」 가로환경(진입로) 개선 사업(강북구, 주민참여)	전통 시장 활성화 가로환경 진입로 개선 사업 강북구 주민참여	수송및교통	도로	도로관리 	0	1500000000
1:1,000 수치지도 갱신사업	1:1000 수치 지도 갱신 사업	일반공공행정	일반행정	일반행정지원 	1421000000	5667000000
119구급상황관리센터 운영	119 구급 상황 관리 센터 운영	공공질서및안전	재난방재및민방위	민방위 	1010940000	5073199000
119안전센터 신설 및 재건축 등	119 안전 센터 신설 재건축 등	공공질서및안전	재난방재및민방위	민방위 	2462323000	10335631000
119종합상황실 유무선통신시스템 운영	119 종합 상황실 유무선 통신 시스템 운영	공공질서및안전	재난방재및민방위	민방위 	5304825000	24278410000
119종합상황실 전산시스템 운영	119 종합 상황실 전산 시스템 운영	공공질서및안전	재난방재및민방위	민방위 	5070435000	19399588000
120다산콜센터 관리 및 고도화	120 다산 콜센터 관리 고도화	일반공공행정	일반행정	일반행정지원 	2698051000	14787898000
120다산콜센터 운영	120 다산 콜센터 운영	일반공공행정	일반행정	일반행정지원 	17623493000	88571786000
'14년 페루 찬차마요시 수도시설개선 사업	14년 2014년 페루 찬차마요 시 수도 시설 개선 사업	산업중소기업	무역및투자유치	무역 	330000000	0
1종 도로기전시설물 공공요금 관리	1종 도로기전시설물 공공 요금 관리	수송및교통	도로	도로관리 	0	2150000000
1종 도로기전시설물 일상유지보수	1종 도로기전시설물 일상 유지 보수	수송및교통	도로	도로관리 	0	1000000000
1종 터널 및 지하차도 재방송설비 유지보수	1종 터널 지하차도 재방송설비 유지 보수	수송및교통	도로	도로관리 	0	48000000
1종수문 정밀안전진단용역	1종 수문 정밀 안전 진단 용역	지역개발	수자원	하천 	0	0
1종터널 및 지하차도 세척	1종 터널 지하차도 세척	수송및교통	도로	도로관리 	0	848000000
2012 지역복지계획 시행결과 우수지자체 특별지원금	2012년 지역 복지 계획 시행 결과 우수 지자체 특별 지원금	사회복지	취약계층지원	장애인생활안정지원 	0	0
2013 마곡 국제 컨퍼런스 추진	2013년 마곡 국제 컨퍼런스 추진	지역개발	산업단지	산업단지개발 	0	80804000
2013 전국 지방세 발전포럼 개최	2013년 전국 지방세 발전 포럼 개최	일반공공행정	일반행정	일반행정지원 	0	30000000
2013 희망 서울 구매 EXPO	2013년 희망 서울 구매 EXPO	일반공공행정	일반행정	일반행정지원 	0	181000000
2013년 청량리전통시장 관광여건 개선	2013년 청량리 전통시장 관광 여건 개선	산업중소기업	산업진흥고도화	산업진흥 	0	0
2013년도 복지행정상 노인분야 우수지자체 지원	2013년 복지 행정상 노인 분야 우수 지자체 지원	사회복지	노인청소년	노인생활안정 	0	0
2013회계연도 결산업무 추진	2013년 회계연도 결산 업무 추진	일반공공행정	일반행정	일반행정지원 	193179000	996569000
2014 공간정보시스템 유지보수	2014년 공간 정보 시스템 유지 보수	일반공공행정	일반행정	일반행정지원 	342000000	1898690000
2014 대한민국 행복바라미 문화대축전	2014년 대한민국 행복 바라미 문화 대축전	문화체육관광	문화예술	지역문화예술진흥 	200000000	200000000
