category_one	category_two	category_three	assigned	summary	num_services
환경보호	환경보호일반	도시환경 	69405200000	852930913000	114
지역개발	지역및도시	건설건축 	1565040101000	12614288222000	466
환경보호	상하수도및수질	상수도 	1836346176000	11105629285000	384
문화체육관광	문화예술	지역문화예술진흥 	228164985000	1781789245000	301
보건	보건의료	지역보건 	325504082000	1444336114000	263
사회복지	보육가족및여성	가족기능강화 	796159525000	3709006103000	97
사회복지	노인청소년	노인생활안정 	897641489000	4732970196000	169
공공질서및안전	재난방재및민방위	민방위 	131823640000	607576904000	68
일반공공행정	일반행정	일반행정지원 	1882471522000	8362101743000	673
산업중소기업	산업진흥고도화	산업진흥 	284249070000	2170379826000	53
수송및교통	도로	도로관리 	700499321000	14826669440000	329
산업중소기업	무역및투자유치	무역 	6664810000	70375600000	37
문화체육관광	체육	체육정책 	132650462000	680135684000	109
문화체육관광	관광	관광정책 	58717534000	295751938000	62
사회복지	취약계층지원	장애인생활안정지원 	2318833892000	11256619716000	146
문화체육관광	문화재	문화재보존정책 	62855181000	389038421000	80
수송및교통	물류등기타	교통관리 	2608573633000	13005464732000	264
지역개발	산업단지	산업단지개발 	2818984000	39660243000	11
환경보호	자연	생태계 	25537305000	205439018000	43
환경보호	대기	대기보전 	438873336000	2377606392000	102
환경보호	폐기물	폐기물관리일반 	129064781000	602465008000	64
사회복지	주택	임대주택정책 	706268335000	4659726181000	90
일반공공행정	일반행정	선거관리 	16583319000	92439692000	31
보건	식품의약안전	식품안전 	21591518000	88605262000	21
농림해양수산	농업농촌	농림진흥 	67858050000	699894182000	34
지역개발	수자원	하천 	428311552000	2148349721000	118
사회복지	노동	고용정책 	127325606000	831741955000	26
교육	고등교육	대학관리일반 	29148213000	329636573000	34
교육	유아및초중등교육	유아교육 	2600047463000	13450593234000	24
일반공공행정	재정금융	지방세운용 	2138901969000	4629994948000	25
산업중소기업	산업중소기업일반	지역경제 	18502100000	85625592000	26
수송및교통	도시철도	도시철도건설 	236644840000	8903206195000	23
교육	평생직업교육	평생직업교육기반 	5117006000	33529768000	12
일반공공행정	재정금융	지방세외운용 	2845756437000	14103516034000	3
산업중소기업	산업금융지원	산업및중소기업금융지원 	543401088000	2375501354000	4
사회복지	사회복지일반	사회복지기반조성 	8467500000	9177500000	1
공공질서및안전	경찰	자치경찰일반관리 	1232356000	6332042000	2
문화체육관광	관광	관광산업 	0	66586000000	2
