service	category_one	category_two	category_three	assigned	summary
중저가 관광숙박시설 확충 및 다양화	문화체육관광	관광	관광정책 	802000000	1537000000
2010 한국 방문의 해 서울과 함께 프로젝트	문화체육관광	관광	관광정책 	4025000000	18530000000
2010 한국방문의 해, 서울과 함께 프로젝트	문화체육관광	관광	관광정책 	0	9000000000
DMC 외국인학교 학교건축	문화체육관광	관광	관광정책 	4208000000	29187000000
u-Tour 인프라 구축 및 운영	문화체육관광	관광	관광정책 	1234755000	14344000000
개포 외국인학교 유지관리	문화체육관광	관광	관광정책 	0	128433000
관광객 환대의식 개선사업	문화체육관광	관광	관광정책 	700000000	2756200000
관광숙박업 재산세 감면분 보전	문화체육관광	관광	관광정책 	0	5115000000
관광안내소 선진화 사업	문화체육관광	관광	관광정책 	0	2490023000
관광안내소 운영	문화체육관광	관광	관광정책 	2009249000	7781200000
관광안내체계 관리	문화체육관광	관광	관광정책 	0	600000000
관광중식당 동챠오 글로벌 문화사업 추진	문화체육관광	관광	관광정책 	100000000	0
관광특구 활성화 사업	문화체육관광	관광	관광정책 	480000000	2000000000
관광활성화를 위한 한류스타 활용 서울국제가요제 개최	문화체육관광	관광	관광정책 	500000000	0
국고보조금 집행잔액 반환금	문화체육관광	관광	관광정책 	30453000	21475000
국내 인바운드여행사 대상 설명회 개최	문화체육관광	관광	관광정책 	0	230000000
국내외 관광교역전 참가	문화체육관광	관광	관광정책 	622931000	2482600000
권역별 관광개발계획 수립	문화체육관광	관광	관광정책 	89884000	100000000
글로벌 클러스터빌딩 건립	문화체육관광	관광	관광정책 	10610000000	32748000000
글로벌 헬스케어&의료관광 엑스포 지원	문화체육관광	관광	관광정책 	0	100000000
몽골학교 토지매입	문화체육관광	관광	관광정책 	0	1500000000
미국행정대학원 서울시정사례연구 교과목 운영 지원	문화체육관광	관광	관광정책 	156449000	141449000
민간제휴 홍보 마케팅	문화체육관광	관광	관광정책 	100000000	1053000000
반포외국인학교부지 폐기물처리	문화체육관광	관광	관광정책 	0	0
서래마을 글로벌 특화거리 조성	문화체육관광	관광	관광정책 	0	2500000000
서울 그랜드 세일	문화체육관광	관광	관광정책 	900000000	4775000000
서울 그린투어코스 개발 운영	문화체육관광	관광	관광정책 	410820000	1940820000
서울 글로벌패밀리 홈스테이 운영	문화체육관광	관광	관광정책 	319215000	319215000
서울 시티투어버스 운영	문화체육관광	관광	관광정책 	156000000	1363000000
서울 외국인유학생센터 건립 타당성조사 연구용역	문화체육관광	관광	관광정책 	0	0
서울 의료관광 활성화 추진	문화체육관광	관광	관광정책 	351900000	2060000000
서울 이미지 아카이빙 시스템 구축	문화체육관광	관광	관광정책 	104000000	150000000
서울관광 대표사이트 업그레이드	문화체육관광	관광	관광정책 	700000000	4356000000
서울관광 디지털 통합 마케팅 실시	문화체육관광	관광	관광정책 	1800000000	9800000000
서울관광 사진전 개최	문화체육관광	관광	관광정책 	250000000	1400000000
서울관광 팸투어	문화체육관광	관광	관광정책 	0	500000000
서울관광 홍보물 제작 및 홍보마케팅	문화체육관광	관광	관광정책 	470000000	2600000000
서울관광대상 운영	문화체육관광	관광	관광정책 	770000000	4414000000
서울관광마케팅주식회사 출자	문화체육관광	관광	관광정책 	3000000000	15000000000
서울관광상품 홍보 및 프로모션	문화체육관광	관광	관광정책 	3934000000	24590000000
서울관광진흥위원회 운영	문화체육관광	관광	관광정책 	36000000	108000000
서울관광카드 운영 개선	문화체육관광	관광	관광정책 	0	500000000
서울관광포럼 운영	문화체육관광	관광	관광정책 	0	600000000
서울사랑방(가칭) 시정 홍보공간 조성	문화체육관광	관광	관광정책 	0	4636000000
서울약령시 한방문화축제	문화체육관광	관광	관광정책 	300000000	1000000000
서울우수관광기념품 산업 육성	문화체육관광	관광	관광정책 	634600000	3534000000
서울우수관광기념품상품개발사업	문화체육관광	관광	관광정책 	0	137600000
서울의 글로벌화 사업	문화체육관광	관광	관광정책 	4968794000	25930643000
서울타운 미팅 및 외국인 생활환경 실태조사	문화체육관광	관광	관광정책 	0	420800000
서울형 관광상품코스 개발	문화체육관광	관광	관광정책 	1700000000	434755000
수도권 5개시도 관광진흥 공동사업	문화체육관광	관광	관광정책 	550000000	960000000
연남동 글로벌 특화거리 조성사업	문화체육관광	관광	관광정책 	0	1109000000
외국인 벼룩시장 개최	문화체육관광	관광	관광정책 	0	160000000
외국인 전용 관광컨텍센터 운영	문화체육관광	관광	관광정책 	0	600000000
외국인 커뮤니티 문화행사 지원	문화체육관광	관광	관광정책 	0	426000000
외국인근로자센터 운영	문화체육관광	관광	관광정책 	2020000000	4760774000
외국인학교 신규건립 부지매입	문화체육관광	관광	관광정책 	0	154474038000
외국인학교 지원 육성	문화체육관광	관광	관광정책 	65000000	456000000
움직이는 관광안내소 운영	문화체육관광	관광	관광정책 	863000000	3108000000
이노스텔 외국인 숙박보조금 지급제도	문화체육관광	관광	관광정책 	0	2555000000
이노스텔 외국인 숙박비 할인 보전제도	문화체육관광	관광	관광정책 	727000000	1853000000
인바운드 여행사 관광객 유치 지원	문화체육관광	관광	관광정책 	0	592000000
제2 유스호스텔 건립	문화체육관광	관광	관광정책 	0	21439000000
차이나타운 마그넷 복합시설 건립	문화체육관광	관광	관광정책 	0	9792000000
청계천 상부 보행관광축 개선	문화체육관광	관광	관광정책 	0	1657000000
컨벤션 활성화를 통한 서울 마케팅	문화체육관광	관광	관광정책 	9025620000	23218993000
컨벤션산업 인프라 구축	문화체육관광	관광	관광정책 	101400000	101400000
콘텐츠융합형 관광협력사업	문화체육관광	관광	관광정책 	90000000	135500000
태권도 관광상품 개발운영	문화체육관광	관광	관광정책 	581309000	2981309000
한·중 문화교류 활성화 지원	문화체육관광	관광	관광정책 	0	0
한류스타를 활용한 관광마케팅 사업	문화체육관광	관광	관광정책 	0	300000000
