사업명	category_one	category_two	category_three	assigned
축산물 이력제 실시	보건	식품의약안전	식품안전?	558000
농가경영컨설팅	농림해양수산	농업농촌	농림진흥?	3000000
후계농업경영인 육성	농림해양수산	농업농촌	농림진흥?	4500000
다문화 가정 자녀교육 지원(주민참여)	사회복지	보육가족및여성	가족기능강화?	10000000
우장근린공원(강서) 조성	지역개발	지역및도시	건설건축?	13000000
서울광장 운영	일반공공행정	일반행정	일반행정지원?	13500000
직장내 성희롱 예방교육	사회복지	보육가족및여성	가족기능강화?	15000000
하수악취(정화조) 저감 추진	환경보호	상하수도및수질	상수도?	18000000
학교체육부 창단 육성	문화체육관광	체육	체육정책?	20000000
건강증진과 비만치료를 위한 칼로리계단 설치(주민참여)	보건	보건의료	지역보건?	20000000
농업인자녀 학자금지원	농림해양수산	농업농촌	농림진흥?	21536000
서울시 도서관 사서교육 및 워크숍	문화체육관광	문화예술	지역문화예술진흥?	24304000
건강한 먹거리가 있는 전통시장 만들기 지원	보건	식품의약안전	식품안전?	24600000
장기기증 및 헌혈 장려사업	보건	보건의료	지역보건?	25000000
성매개감염병 진단법 개선비	보건	보건의료	지역보건?	26400000
생물테러 대비 감시사업	보건	보건의료	지역보건?	27000000
재난피해자 심리안정지원	공공질서및안전	재난방재및민방위	민방위?	28000000
친환경 농자재지원사업	농림해양수산	농업농촌	농림진흥?	28000000
마약류중독자 치료보호	보건	보건의료	지역보건?	30000000
재활용센터 활성화	환경보호	폐기물	폐기물관리일반?	30000000
여성장애인 교육	사회복지	취약계층지원	장애인생활안정지원?	32400000
서민층 가스시설 개선사업	공공질서및안전	재난방재및민방위	민방위?	35591000
구립 도서관 장애인 편의시설 설치(주민참여)	문화체육관광	문화예술	지역문화예술진흥?	36000000
시민인권보호관 운영	일반공공행정	일반행정	일반행정지원?	37520000
청계천시민위원회 운영	지역개발	수자원	하천?	40000000
장애인 평생교육시설 운영 지원	교육	평생직업교육	평생직업교육기반?	40000000
서울-베이징 청소년 문화교류사업	산업중소기업	무역및투자유치	무역?	40000000
독거어르신 영양죽 배달사업(주민참여)	사회복지	노인청소년	노인생활안정?	45000000
노인건강검진	보건	보건의료	지역보건?	47600000
층간소음 전문컨설팅단 운영	지역개발	지역및도시	건설건축?	48000000
공중위생업소 위생서비스 관리	보건	보건의료	지역보건?	48560000
청룡문화제 지원	문화체육관광	문화예술	지역문화예술진흥?	50000000
비정규직 고용개선 지원	사회복지	노동	고용정책?	50000000
벼 병해충 방제지원	농림해양수산	농업농촌	농림진흥?	50000000
천연기념물 관리	문화체육관광	문화재	문화재보존정책?	51800000
시민 안전문화 활성화	공공질서및안전	재난방재및민방위	민방위?	52830000
서울시청 방송운영	일반공공행정	일반행정	일반행정지원?	52920000
서울시 공공앱 운영관리	일반공공행정	일반행정	일반행정지원?	60000000
가로등 통제소 운영	수송및교통	도로	도로관리?	60000000
공중화장실 시설·운영관리 수준향상	보건	보건의료	지역보건?	60040000
진로직업체험 프로그램 운영(주민참여)	사회복지	노인청소년	노인생활안정?	61000000
자동기상관측시스템 운영	환경보호	대기	대기보전?	62000000
서울시 글로벌 인턴십 운영	사회복지	보육가족및여성	가족기능강화?	63650000
전통 우리음식 및 생활문화 교육	농림해양수산	농업농촌	농림진흥?	63709000
가짜식품 판별 검사	보건	보건의료	지역보건?	65000000
반려동물 입양센터 운영	지역개발	지역및도시	건설건축?	66800000
저출산대응 민·관협력 네트워크 구축	사회복지	보육가족및여성	가족기능강화?	69000000
발달장애아 전문치료센터 운영	보건	보건의료	지역보건?	70759000
장애인 체육 우수선수 육성 지원	문화체육관광	체육	체육정책?	80000000
어르신 쉼터 실버카페 조성(주민참여)	사회복지	노인청소년	노인생활안정?	81000000
非OECD국가 학교 지원 육성	산업중소기업	무역및투자유치	무역?	83600000
장애인운전연습장 운영	사회복지	취약계층지원	장애인생활안정지원?	84720000
서울안전통합상황실 운영	공공질서및안전	재난방재및민방위	민방위?	85529000
저출산극복 인식개선	사회복지	보육가족및여성	가족기능강화?	86000000
해외 유명 여행서 서울판 발간지원	문화체육관광	관광	관광정책?	87000000
야생생물 보호 및 관리강화	환경보호	자연	생태계?	87000000
통계정보시스템 유지관리	일반공공행정	일반행정	일반행정지원?	88320000
서울특별시 인권위원회 운영	일반공공행정	일반행정	일반행정지원?	90000000
시립미술관 자료실 운영	문화체육관광	문화예술	지역문화예술진흥?	90545000
여성폭력피해자 주거지원	사회복지	보육가족및여성	가족기능강화?	93457000
인권피해자 치유 지원 사업	보건	보건의료	지역보건?	97000000
장애인재활지원센터 운영	사회복지	취약계층지원	장애인생활안정지원?	98301000
서울역 관광버스 주차장 설치	수송및교통	물류등기타	교통관리?	99000000
아동·청소년 정신보건사업	보건	보건의료	지역보건?	100000000
성매매위기 십대여성 현장상담	사회복지	보육가족및여성	가족기능강화?	100000000
나라꽃 무궁화 보급 및 확대	지역개발	지역및도시	건설건축?	100000000
파견공무원을 위한 주택보조비 지원	일반공공행정	일반행정	일반행정지원?	100800000
유네스코 세계유산 등재 아이템 발굴 및 등재 추진	문화체육관광	문화재	문화재보존정책?	104400000
